id	related_id	class	type/scale	name	relevance	text	help	language	validation	mandatory	other	default	same_default	always_hide	array_filter	date_max	date_min	dropdown_dates	em_validation_q	em_validation_q_tip	em_validation_sq	em_validation_sq_tip	equals_num_value	exclude_all_others	hide_tip	max_answers	max_num_value_n	maximum_chars	min_answers	min_num_value_n	other_replace_text
		S		sid		123456																									
		S		admin		Survey Admin																									
		S		adminemail		admin@example.com																									
		S		anonymized		N																									
		S		format		G																									
		S		language		en																									
		S		datestamp		Y																									
		S		ipaddr		N																									
		S		showprogress		Y																									
		S		allowprev		Y																									
		S		printanswers		Y																									
		S		showgroupinfo		D																									
		S		showqnumcode		X																									
		S		additional_languages		es fr ro																									
		SL		surveyls_title		Comprehensive Health & Lifestyle Survey		en																							
		SL		surveyls_title		Encuesta integral de salud y estilo de vida		es																							
		SL		surveyls_title		Enquête complète sur la santé et le mode de vie		fr																							
		SL		surveyls_title		Studiu complet privind sănătatea și stilul de viață		ro																							
		SL		surveyls_description		<p>A comprehensive survey covering demographics, health behaviors, nutrition, and wellbeing.</p>		en																							
		SL		surveyls_description		<p>Una encuesta integral que abarca datos demográficos, comportamientos de salud, nutrición y bienestar.</p>		es																							
		SL		surveyls_description		<p>Une enquête complète couvrant les données démographiques, les comportements liés à la santé, la nutrition et le bien-être.</p>		fr																							
		SL		surveyls_description		<p>Un studiu complet privind datele demografice, comportamentele legate de sănătate, nutriția și bunăstarea.</p>		ro																							
		SL		surveyls_welcometext		<p>Welcome! This survey takes approximately 10 minutes.</p>		en																							
		SL		surveyls_welcometext		<p>¡Bienvenido! Esta encuesta toma aproximadamente 10 minutos.</p>		es																							
		SL		surveyls_welcometext		<p>Bienvenue ! Cette enquête prend environ 10 minutes.</p>		fr																							
		SL		surveyls_welcometext		<p>Bine ați venit! Acest chestionar durează aproximativ 10 minute.</p>		ro																							
		SL		surveyls_endtext		<p>Thank you for completing this survey!</p>		en																							
		SL		surveyls_endtext		<p>¡Gracias por completar esta encuesta!</p>		es																							
		SL		surveyls_endtext		<p>Merci d'avoir complété cette enquête !</p>		fr																							
		SL		surveyls_endtext		<p>Vă mulțumim pentru completarea chestionarului!</p>		ro																							
		G		demographics		<p>Section 1: Demographics</p>		en																							
		Q	L	gender		<p>What is your gender?</p>		en		Y																					
		A	0	M		Male		en																							
		A	0	F		Female		en																							
		A	0	O		Other		en																							
		Q	N	age		<p>What is your age (in years)?</p>		en		Y															1		120			15	
		Q	D	dob		<p>What is your date of birth?</p>		en								2010-12-31	1900-01-01	1													
		Q	!	education		<p>What is your highest level of education?</p>		en		Y																					
		A	0	A1		No formal education		en																							
		A	0	A2		Primary school		en																							
		A	0	A3		Secondary school		en																							
		A	0	A4		University degree		en																							
		A	0	A5		Postgraduate degree		en																							
		Q	S	country		<p>In which country do you currently reside?</p>		en	/^[a-zA-Z\s]+$/	Y																		50			
		Q	S	email		<p>What is your email address?</p>	<p>For follow-up purposes only</p>	en	/^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$/																						
		Q	S	phone		<p>What is your phone number?</p>	<p>Include country code</p>	en	/^\+?[0-9\s\-\(\)]{7,20}$/																						
		Q	N	hhsize		<p>How many people live in your household (including yourself)?</p>		en		Y																	30			1	
		Q	X	infohealth		<p>The following questions ask about your health behaviors. Please answer honestly.</p>		en																							
		G		healthbehaviors		<p>Section 2: Health Behaviors</p>		en																							
		Q	L	smoking		<p>Do you currently smoke tobacco?</p>		en		Y	Y																				Other (please specify)
		A	0	A1		Yes, daily		en																							
		A	0	A2		Yes, occasionally		en																							
		A	0	A3		No, I quit		en																							
		A	0	A4		No, never smoked		en																							
		Q	N	cigsperday	smoking == 'A1'	<p>How many cigarettes do you smoke per day?</p>		en		Y																	100			1	
		Q	N	yearssmoking	smoking == 'A1' || smoking == 'A2' || smoking == 'A3'	<p>For how many years have you smoked (or did you smoke)?</p>		en																			80			0	
		Q	N	quityear	smoking == 'A3'	<p>In what year did you quit smoking?</p>		en																			2026			1950	
		Q	Y	alcohol		<p>Do you consume alcoholic beverages?</p>		en		Y																					
		Q	L	alcoholfreq	alcohol == 'Y'	<p>How often do you consume alcohol?</p>		en		Y																					
		A	0	A1		Daily		en																							
		A	0	A2		Several times a week		en																							
		A	0	A3		Once a week		en																							
		A	0	A4		A few times a month		en																							
		A	0	A5		Rarely		en																							
		Q	N	drinkssession	alcohol == 'Y'	<p>How many standard drinks per session?</p>	<p>1 standard drink = 1 beer (330ml) / 1 glass wine (150ml) / 1 shot spirits</p>	en																			50			1	
		Q	M	exercise		<p>Which physical activities do you regularly engage in? (select all that apply)</p>		en			Y													NONE					1		
		SQ	0	SQ001		Walking / hiking		en																							
		SQ	0	SQ002		Running / jogging		en																							
		SQ	0	SQ003		Swimming		en																							
		SQ	0	SQ004		Cycling		en																							
		SQ	0	SQ005		Team sports		en																							
		SQ	0	SQ006		Gym / weight training		en																							
		SQ	0	SQ007		Yoga / Pilates		en																							
		SQ	0	NONE		None - I do not exercise		en																							
		Q	L	exercisefreq	exercise_SQ001=='Y' || exercise_SQ002=='Y' || exercise_SQ003=='Y' || exercise_SQ004=='Y' || exercise_SQ005=='Y' || exercise_SQ006=='Y' || exercise_SQ007=='Y'	<p>How many times per week do you exercise?</p>		en																							
		A	0	A1		Once		en																							
		A	0	A2		2-3 times		en																							
